,gtfs_stop_id,stop_name,borough,gtfs_latitude,gtfs_longitude,north_direction_label,south_direction_label,daytime_routes,structure,ada
191,A60,88 St,Queens,40.679843,-73.85147,Manhattan,Outbound,A,Elevated,0
192,A61,Rockaway Blvd,Queens,40.680429,-73.843853,Manhattan,Outbound,A,Elevated,0
193,A63,104 St,Queens,40.681711,-73.837683,Manhattan,Ozone Park,A,Elevated,0
194,A64,111 St,Queens,40.684331,-73.832163,Manhattan,Ozone Park,A,Elevated,0
195,A65,Ozone Park-Lefferts Blvd,Queens,40.685951,-73.825798,Manhattan,Last Stop,A,Elevated,1
196,H01,Aqueduct Racetrack,Queens,40.672369,-73.835254,Manhattan,Rockaways,A,At Grade,1
197,H02,Aqueduct-N Conduit Av,Queens,40.668234,-73.834058,Manhattan,Rockaways,A,At Grade,0
198,H03,Howard Beach-JFK Airport,Queens,40.660476,-73.830301,Manhattan,Rockaways,A,At Grade,1
199,H04,Broad Channel,Queens,40.608382,-73.815925,Inbound,Rockaways,A S,At Grade,0
200,H12,Beach 90 St,Queens,40.588034,-73.813641,Inbound,Rockaway Park,A S,Viaduct,0
201,H13,Beach 98 St,Queens,40.585307,-73.820558,Inbound,Rockaway Park,A S,Viaduct,0
202,H14,Beach 105 St,Queens,40.583209,-73.827559,Inbound,Rockaway Park,A S,Viaduct,0
203,H15,Rockaway Park-Beach 116 St,Queens,40.580903,-73.835592,Inbound,Last Stop,A S,At Grade,1
204,H06,Beach 67 St,Queens,40.590927,-73.796924,Manhattan,Far Rockaway,A,Viaduct,1
205,H07,Beach 60 St,Queens,40.592374,-73.788522,Manhattan,Far Rockaway,A,Viaduct,0
206,H08,Beach 44 St,Queens,40.592943,-73.776013,Manhattan,Far Rockaway,A,Viaduct,0
207,H09,Beach 36 St,Queens,40.595398,-73.768175,Manhattan,Far Rockaway,A,Viaduct,0
208,H10,Beach 25 St,Queens,40.600066,-73.761353,Manhattan,Far Rockaway,A,Viaduct,0
209,H11,Far Rockaway-Mott Av,Queens,40.603995,-73.755405,Manhattan,Last Stop,A,Viaduct,1
210,D01,Norwood-205 St,Bronx,40.874811,-73.878855,Last Stop,Manhattan,D,Subway,0
211,D03,Bedford Park Blvd,Bronx,40.873244,-73.887138,Northbound,Manhattan,B D,Subway,1
212,D04,Kingsbridge Rd,Bronx,40.866978,-73.893509,Northbound,Manhattan,B D,Subway,1
213,D05,Fordham Rd,Bronx,40.861296,-73.897749,Northbound,Manhattan,B D,Subway,0
214,D06,182-183 Sts,Bronx,40.856093,-73.900741,Northbound,Manhattan,B D,Subway,0
215,D07,Tremont Av,Bronx,40.85041,-73.905227,Northbound,Manhattan,B D,Subway,1
216,D08,174-175 Sts,Bronx,40.8459,-73.910136,Northbound,Manhattan,B D,Subway,0
217,D09,170 St,Bronx,40.839306,-73.9134,Northbound,Manhattan,B D,Subway,0
218,D10,167 St,Bronx,40.833771,-73.91844,Northbound,Manhattan,B D,Subway,0
219,D11,161 St-Yankee Stadium,Bronx,40.827905,-73.925651,Northbound,Manhattan,B D,Subway,1
220,D12,155 St,Manhattan,40.830135,-73.938209,The Bronx,Downtown,B D,Subway,0
221,B04,21 St-Queensbridge,Queens,40.754203,-73.942836,Outbound,Manhattan,F,Subway,1
222,B06,Roosevelt Island,Manhattan,40.759145,-73.95326,Queens,Downtown,F,Subway,1
223,B08,Lexington Av/63 St,Manhattan,40.764629,-73.966113,Uptown & Queens,Downtown,F Q,Subway,1
224,B10,57 St,Manhattan,40.763972,-73.97745,Uptown,Downtown,F,Subway,0
225,D15,47-50 Sts-Rockefeller Ctr,Manhattan,40.758663,-73.981329,Uptown,Downtown,B D F M,Subway,1
226,D16,42 St-Bryant Pk,Manhattan,40.754222,-73.984569,Uptown,Downtown,B D F M,Subway,0
227,D17,34 St-Herald Sq,Manhattan,40.749719,-73.987823,Uptown,Downtown,B D F M,Subway,1
228,D18,23 St,Manhattan,40.742878,-73.992821,Uptown,Downtown,F M,Subway,0
229,D19,14 St,Manhattan,40.738228,-73.996209,Uptown,Downtown,F M,Subway,2
230,D21,Broadway-Lafayette St,Manhattan,40.725297,-73.996204,Uptown,Downtown,B D F M,Subway,1
231,D22,Grand St,Manhattan,40.718267,-73.993753,Uptown,Brooklyn,B D,Subway,0
232,F14,2 Av,Manhattan,40.723402,-73.989938,Uptown,Downtown,F,Subway,0
233,F15,Delancey St-Essex St,Manhattan,40.718611,-73.988114,Uptown,Brooklyn,F,Subway,0
234,F16,East Broadway,Manhattan,40.713715,-73.990173,Uptown,Brooklyn,F,Subway,0
235,F18,York St,Brooklyn,40.701397,-73.986751,Manhattan,Southbound,F,Subway,0
236,F20,Bergen St,Brooklyn,40.686145,-73.990862,Northbound,Southbound,F G,Subway,0
237,F21,Carroll St,Brooklyn,40.680303,-73.995048,Northbound,Southbound,F G,Subway,0
238,F22,Smith-9 Sts,Brooklyn,40.67358,-73.995959,Northbound,Southbound,F G,Viaduct,0
239,F23,4 Av-9 St,Brooklyn,40.670272,-73.989779,Northbound,Southbound,F G,Viaduct,0
240,F24,7 Av,Brooklyn,40.666271,-73.980305,Northbound,Southbound,F G,Subway,1
241,F25,15 St-Prospect Park,Brooklyn,40.660365,-73.979493,Northbound,Southbound,F G,Subway,0
242,F26,Fort Hamilton Pkwy,Brooklyn,40.650782,-73.975776,Northbound,Southbound,F G,Subway,0
243,F27,Church Av,Brooklyn,40.644041,-73.979678,Northbound,Southbound,F G,Subway,1
244,F29,Ditmas Av,Brooklyn,40.636119,-73.978172,Manhattan,Southbound,F,Elevated,0
245,F30,18 Av,Brooklyn,40.629755,-73.976971,Manhattan,Southbound,F,Elevated,0
246,F31,Avenue I,Brooklyn,40.625322,-73.976127,Manhattan,Southbound,F,Elevated,0
247,F32,Bay Pkwy,Brooklyn,40.620769,-73.975264,Manhattan,Southbound,F,Elevated,0
248,F33,Avenue N,Brooklyn,40.61514,-73.974197,Manhattan,Southbound,F,Elevated,0
249,F34,Avenue P,Brooklyn,40.608944,-73.973022,Manhattan,Southbound,F,Elevated,0
250,F35,Kings Hwy,Brooklyn,40.603217,-73.972361,Manhattan,Southbound,F,Elevated,0
251,F36,Avenue U,Brooklyn,40.596063,-73.973357,Manhattan,Coney Island,F,Elevated,0
252,F38,Avenue X,Brooklyn,40.58962,-73.97425,Manhattan,Coney Island,F,Elevated,0
253,F39,Neptune Av,Brooklyn,40.581011,-73.974574,Manhattan,Coney Island,F,Elevated,0
254,F01,Jamaica-179 St,Queens,40.712646,-73.783817,Last Stop,Manhattan,F,Subway,1
255,F02,169 St,Queens,40.71047,-73.793604,Jamaica,Manhattan,F,Subway,0
256,F03,Parsons Blvd,Queens,40.707564,-73.803326,Jamaica,Manhattan,F,Subway,0
257,F04,Sutphin Blvd,Queens,40.70546,-73.810708,Jamaica,Manhattan,F,Subway,0
258,F05,Briarwood,Queens,40.709179,-73.820574,Jamaica,Manhattan,E F,Subway,0
259,F06,Kew Gardens-Union Tpke,Queens,40.714441,-73.831008,Jamaica,Manhattan,E F,Subway,1
260,F07,75 Av,Queens,40.718331,-73.837324,Jamaica,Manhattan,E F,Subway,0
261,G08,Forest Hills-71 Av,Queens,40.721691,-73.844521,Outbound,Manhattan,E F M R,Subway,1
262,G09,67 Av,Queens,40.726523,-73.852719,Outbound,Manhattan,M R,Subway,0
263,G10,63 Dr-Rego Park,Queens,40.729846,-73.861604,Outbound,Manhattan,M R,Subway,0
264,G11,Woodhaven Blvd,Queens,40.733106,-73.869229,Outbound,Manhattan,M R,Subway,0
265,G12,Grand Av-Newtown,Queens,40.737015,-73.877223,Outbound,Manhattan,M R,Subway,0
266,G13,Elmhurst Av,Queens,40.742454,-73.882017,Outbound,Manhattan,M R,Subway,0
267,G14,Jackson Hts-Roosevelt Av,Queens,40.746644,-73.891338,Outbound,Manhattan,E F M R,Subway,1
268,G15,65 St,Queens,40.749669,-73.898453,Outbound,Manhattan,M R,Subway,0
269,G16,Northern Blvd,Queens,40.752885,-73.906006,Outbound,Manhattan,M R,Subway,0
270,G18,46 St,Queens,40.756312,-73.913333,Outbound,Manhattan,M R,Subway,0
271,G19,Steinway St,Queens,40.756879,-73.92074,Outbound,Manhattan,M R,Subway,0
272,G20,36 St,Queens,40.752039,-73.928781,Outbound,Manhattan,M R,Subway,0
273,G21,Queens Plaza,Queens,40.748973,-73.937243,Outbound,Manhattan,E M R,Subway,1
274,F09,Court Sq-23 St,Queens,40.747846,-73.946,Outbound,Manhattan,E M,Subway,2
275,F11,Lexington Av/53 St,Manhattan,40.757552,-73.969055,Queens,Downtown,E M,Subway,1
276,F12,5 Av/53 St,Manhattan,40.760167,-73.975224,Queens,Downtown,E M,Subway,0
277,D14,7 Av,Manhattan,40.762862,-73.981637,Outbound,Downtown,E B D,Subway,0
278,G05,Jamaica Center-Parsons/Archer,Queens,40.702147,-73.801109,Last Stop,Manhattan,E J Z,Subway,1
279,G06,Sutphin Blvd-Archer Av-JFK Airport,Queens,40.700486,-73.807969,Jamaica,Manhattan,E J Z,Subway,1
280,G07,Jamaica-Van Wyck,Queens,40.702566,-73.816859,Jamaica,Manhattan,E,Subway,1
281,G22,Court Sq,Queens,40.746554,-73.943832,Last Stop,Brooklyn,G,Subway,1
282,G24,21 St,Queens,40.744065,-73.949724,Court Square,Brooklyn,G,Subway,0
283,G26,Greenpoint Av,Brooklyn,40.731352,-73.954449,Queens,Southbound,G,Subway,1
284,G28,Nassau Av,Brooklyn,40.724635,-73.951277,Queens,Southbound,G,Subway,0
285,G29,Metropolitan Av,Brooklyn,40.712792,-73.951418,Queens,Southbound,G,Subway,1
286,G30,Broadway,Brooklyn,40.706092,-73.950308,Queens,Southbound,G,Subway,0
287,G31,Flushing Av,Brooklyn,40.700377,-73.950234,Queens,Southbound,G,Subway,0
288,G32,Myrtle-Willoughby Avs,Brooklyn,40.694568,-73.949046,Queens,Southbound,G,Subway,0
